Oracle,Security Feature,iCall Location,Time,Flipfrom,Flipto,Note
SQLite-Q1,safemode,sqlite3.c:106876,2,resolveExprStep,sqlite3ExprWalkNoop,
,,,2,,exprNodeIsConstant,
,,,2,,propagateConstantExprRewrite,
,,,2,,fixExprCb,
,,,2,,impliesNotNullRow,
,,,2,,sqlite3WindowExtraAggFuncDepth,
,,,2,,gatherSelectWindowsCallback,
,,,2,,disallowAggregatesInOrderByCb,
,,,2,,renameQuotefixExprCb,
,,,2,,analyzeAggregate,
,,,2,,renumberCursorsCb,
,,,2,,sqlite3ReturningSubqueryVarSelect,
,,,2,,renameTableExprCb,
,,,2,,agginfoPersistExprCb,
,,,2,,incrAggDepth,
,,,2,,exprColumnFlagUnion,
,,,2,,checkConstraintExprNode,
,,,2,,aggregateIdxEprRefToColCallback,
,,,2,,exprNodeIsDeterministic,
,,,2,,whereIsCoveringIndexWalkCallback,
,,,2,,resolveRemoveWindowsCb,
,,,2,,exprIdxCover,
,,,2,,selectWindowRewriteExprCb,
,,,2,,exprRefToSrcList,
,,,2,,havingToWhereExprCb,
,,,2,,renameUnmapExprCb,
,,,2,,recomputeColumnsUsedExpr,
,,,2,,renameColumnExprCb,
,,,2,,exprNodeCanReturnSubtype,
,,,2,,exprNodeIsConstantOrGroupBy,Unstable
,,sqlite3.c:121911,0,safeModeAuth,idxAuthCallback,
,,,1,,idxAuthCallback,Duplicate
,,sqlite3.c:107018,7,fixSelectCb,resolveSelectStep,
,,sqlite3.c:107018,1,resolveSelectStep,selectExpander,
,,,1,,sqlite3SelectWalkFail,
,,,,,exprSelectWalkTableConstant,
,,,,,gatherSelectWindowsSelectCallback,
